member_name_last_first,state,project_name,amount_requested_in_thousands_of_dollars,project_city_county_state,recipient_name,recipient_address,project_purpose,project_justification,fiscal_year
mission and affect the ability to detect intrusions of national airspace.","32 USC 902 - The Western Air Defense Sector, with headquarters at Joint Base Lewis-McChord, Washington, is
one of two sectors responsible to the Continental U.S. North American Aerospace Defense Command Region
(CONR) and the North American Aerospace Defense Command (NORAD) for peacetime air sovereignty,
strategic air defense, and airborne counterdrug operations in the continental United States.  the generator ensures
mission continuity during power failures enabling continuous monitoring of sovereign airspace.",2026
"Strickland, Marilyn",WA,JBLM Fire Station 105,68095,"JBLM, WA","Joint Base Lewis-
McChord","Joint Base HQs, Box
339500, Mail Stop
1AA
JBLM, WA 98433","Construct a multi-company Department of Emergency Services facility with headquarters and airfield fire and crash
rescue capabilities at Joint Base Lewis-McChord (JBLM), WA.","The funding would be used for construction of the Joint Base Lewis-McChord Airfield Fire & Rescue Station.
JBLM's McChord Airfield cannot operate without an airfield fire & rescue station. Every building system in the
current facility (Bldg J0006) is failing despite years of repairs. Mold from water leaks and excess moisture continues
to cause health and safety concerns for firefighters. Aircraft crash rescue/fire fighting teams will continue to
experience reduced response times, thus resulting in increased risk to life, health and property, as well as challenges
to support to world-wide deployment missions.",2026
"Van Drew, Jefferson",NJ,AQRC099002; Maintenance Hangar Addition Phase 1,68000,"Egg Harbor
Township, NJ","New Jersey Air
National Guard","Curtiss Rd, Egg Harbor
Township, NJ 08234","The 177th Maintenance Group requires an adequately sized and configured maintenance hangar for the maintenance
of 18 Primary Assigned F-16s of the 177th Fighter Wing (NORTHCOM Alert).  The hangar must accommodate 6
maintenance spaces for the assigned mission.  Hangar is required to provide space for scheduled inspections,
landing gear retraction tests, major maintenance on airframe repairs, and ensuring Technical Order (T.O.)
compliance and making related modifications.
The 177th Fighter Wing currently lacks the 6 required maintenance spots to perform fighter maintenance and lacks
adequate, correctly sized maintenance shops.  Building 246 is the current maintenance hangar and only supports 4
undersized locations for the assigned F-16s which do not meet the safety clearance requirements.  Companion
project AQRC239000, Alter Maintenance Hangar Phase 2 will convert the existing space to aircraft maintenance
shop space.
Without this project, the 177th Maintenance Group will continue to operate with 66% of required maintenance
spots, impacting the utilization rate, flying schedule, training, and operations of the 177th Fighter Wing to include the
assigned NORTHCOM alert mission.  Aircraft will continue to be parked closer to fixed obstructions than allowed,
causing increased risk to maintenance personnel.
This project directly aligns to the National Defense Strategy (NDS) by enabling the defense of the homeland through
the 177 FW’s Aerospace Control Alert (ACA) mission and building a resilient defense ecosystem flexible enough to
adapt to future missions and requirements.","This project is rated as the #1 priority by the Adjutant General of the NJ Air National Guard in their 2025
MILCON Scoring and Prioritization Data Call. This project is strongly supported by the local community, including
the government of Atlantic County.",2026
"Wittman, Robert J.",VA,Shore Power for Virginia Class Submarines,2200,"Yorktown, VA","Naval Weapons
Station Yorktown","Naval Weapons Station
Yorkton, 160 Main Rd,
Yorktown, VA 23691","This is a MILCON request to provide $2,200,000 in Planning & Design funds for Shore Power for Virginia Class
Submarines at Naval Weapons Station Yorktown.
The project will construct a new 3,200A utility substation at the south end of Pier R3 at NWS Yorktown
for Virginia Class submarines to conduct loading and unloading operations
The project is currently funded in FY29. However, the project currently needs additional Planning & Design funds.
P&D funding of $2.2 million would take the project to 100% design.
The current working estimated cost of the full project is $21,600,000 as of 22 MAY 2025. A Project Data Sheet
(P1291) is available.","NWS Yorktown substation at Pier R3 is currently only capable of proving 50 percent of the shore power
requirement of the Virginia Class (VACL) submarines.

Without the proposed power upgrades, inadequate shore power will cause reduced operational capability leading to
